Treat_Num	Temperature	Temp_ave	Treatment	Temp_treat	Chem_treat	N_alive	N_dead	Mortality	Survival	Vial
1	16.1	16	HH	H	H	100	0	0	1	1
1	21.7	21.5	HH	H	H	100	0	0	1	2
1	25.1	25	HH	H	H	100	0	0	1	3
1	26.7	26.5	HH	H	H	100	0	0	1	4
1	28.5	28.5	HH	H	H	85	15	0.15	0.85	5
1	30	30	HH	H	H	15	85	0.85	0.15	6
1	32.2	32	HH	H	H	0	100	1	0	7
2	16.1	16	HL	H	L	100	0	0	1	8
2	21.6	21.5	HL	H	L	100	0	0	1	9
2	25.2	25	HL	H	L	99	1	0.01	0.99	10
2	26.7	26.5	HL	H	L	100	0	0	1	11
2	28.6	28.5	HL	H	L	94	6	0.06	0.94	12
2	30	30	HL	H	L	16	84	0.84	0.16	13
2	32.2	32	HL	H	L	0	100	1	0	14
3	16.4	16	LH	L	H	100	0	0	1	15
3	21.5	21.5	LH	L	H	100	0	0	1	16
3	25	25	LH	L	H	100	0	0	1	17
3	26.6	26.5	LH	L	H	95	5	0.05	0.95	18
3	28.6	28.5	LH	L	H	80	15	0.157894737	0.842105263	19
3	30.1	30	LH	L	H	4	99	0.961165049	0.038834951	20
3	32.2	32	LH	L	H	0	100	1	0	21
4	16.3	16	LL	L	L	100	0	0	1	22
4	21.5	21.5	LL	L	L	100	0	0	1	23
4	25	25	LL	L	L	99	1	0.01	0.99	24
4	26.7	26.5	LL	L	L	91	9	0.09	0.91	25
4	28.7	28.5	LL	L	L	81	19	0.19	0.81	26
4	30.4	30	LL	L	L	3	97	0.97	0.03	27
4	32.2	32	LL	L	L	0	100	1	0	28
